Sentence,Sentiment,Member,Topic
That is somewhat surprising as inward investment is one of the Government's and this country's greatest success stories.,POS,The Minister for Energy and Industry (Mr. Tim Eggar),Inward Investment
"Ninety-eight of the ""Fortune"" top 100 companies have chosen to locate in the UK.",POS,The Minister for Energy and Industry (Mr. Tim Eggar),Inward Investment
   : I congratulate my right honorable Friend on her approach to the whole question of energy.,POS,"Mr. Jim Cunningham (Coventry, South)",Energy Policy
"As my right honorable Friend carries out her review, will she bear in mind the fact that the mining industry needs a fair and level playing field?",POS,"Mr. Jim Cunningham (Coventry, South)",Energy Policy
   : I hope that it will be very soon indeed.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
I thank my honorable Friend for his kind remarks.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
"He is entirely right to say that the mining industry, and indeed energy policy as a whole, needs a level playing field in which there is fair competition so that the consumer gets the maximum benefit.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
"I have heard his comments about the position in his locality, and he will know that the Government have always said that they will consider every circumstance carefully.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
   : I know of my honorable Friend's long track record of work in this area.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
I share his view that it is vital for Britain's long-term future that we have a fair and level playing field and that we take a long-term strategic view of energy sources and resources.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
I assure my honorable Friend that that has motivated the Government throughout the review.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
Certainly the Government are mindful of employment considerations in respect of energy and of the environmental considerations that lie behind the Kyoto targets.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Energy Policy
"   : I, too, have had many similar conversations with people in the business community, particularly exporters.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"They are aware of the Government's view that a stable and competitive exchange rate is what will be most beneficial to them in the long term; they are also aware that we have taken steps that we—and, indeed, the markets—believe will produce such an outcome.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"We believe that the best way to tackle exchange rate problems is to strive to compete on the basis of quality, as our competitor countries did.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"That is what the Government continually urge British business to do in any case, as we believe that it will produce the best outcome for Britain in the long term.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"Given what I know to be the breadth of his experience, however, I think that he is likely to share the view that a stable exchange rate is often the most beneficial, as it enables business to plan for the long term—we are certainly working to achieve that.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
   : It has certainly been the aim of successive Governments to achieve growth driven by investments and exports.,POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"We take the view that our policies will, in the long term, bring about such an outcome.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"We hope and believe that, over time, we shall be able to overcome that legacy.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"   : I know of the tremendous amount of work that my honorable Friend has done, including in some cross-party groups in the House, to promote the cause of British companies and manufacturing.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
"I certainly agree that it is enormously important to continue to discuss what can be done to improve competitiveness and to encourage people in businesses large and small to learn from each other, to benchmark the best and to spread understanding of what will best promote the competitiveness of individual companies and hence of Britain as a whole, and I shall certainly bear my honorable Friend's remarks in mind.",POS,The President of the Board of Trade and Secretary of State for Trade and Industry(Mrs. Margaret Beckett),Sterling
